industry_code,industry_name
22,Servicios Profesionales y Federaciones
6,Electrodomésticos
10,Informatica y Electrónica
19,Otros
20,Salud y Belleza
4,Deportes
23,Viajes y Turismo
9,Hogar y Decoración
18,Motor Recambios y Accesorios Motor
17,Moda y Complementos
1,Alimentación y Bebidas
16,Mascotas
14,Libros
12,Joyería
11,Instrumentos Musicales
5,Educación y Formación
3,Bebés
2,Banca y Servicios Financieros
21,Servicios y Productos Médicos
13,Juguetes
7,Entradas Conciertos y Espectáculos
8,Federaciones Deportivas
