,Precio,Precio,Precio,Precio
Tienda,Tienda_112,Tienda_302,Tienda_652,Tienda_732
Nombre,,,,
AAAAAAAA,,1129.864869060484,,
AAAAAADA,,719.4071882641039,,
AAAAAAIA,,1106.6188027835483,,
AAAAAAJA,,978.3430607492694,,
AAAAADAA,,860.6022118045115,,
AAAAADDA,,725.0421156898087,,
AAAAADIA,,517.052400691074,,
AAAAADJA,,1120.59026646509,,
AAAAAIAA,,620.8403994421486,,
AAAAAIDA,,971.8445487339241,,
AAAAAIIA,,1127.5348701760342,,
AAAAAIJA,,1062.2843343142404,,
AAAAAJAA,,1091.5143583207314,,
AAAAAJDA,,1373.1516218423048,,
AAAAAJJA,,960.328292185011,,
AAAADAAA,,1415.9635491307909,,
AAAADADA,,683.5986131243384,,
AAAADAIA,,1107.965667306543,,
AAAADAJA,,1578.30245825145,,
AAAADDAA,,1255.6217311233595,,
AAAADDDA,,1145.4532230786137,,
AAAADDIA,,1005.90856398109,,
AAAADDJA,,697.605072903757,,
AAAADIAA,,794.8818839419209,,
AAAADIDA,,967.8772150454928,,
AAAADIIA,,930.5858362412175,,
AAAADIJA,,1309.692591302288,,
AAAADJAA,,1166.933797418103,,
AAAADJDA,,935.573934162784,,
AAAAIAAA,,920.74111353368,,
AAAAIADA,,1423.0160236244185,,
AAAAIAIA,,1278.4893745401582,,
AAAAIAJA,,1503.3907088194912,,
AAAAIDAA,,343.6275950731511,,
AAAAIDDA,,1056.9365866746737,,
AAAAIDIA,,1019.2427128078218,,
AAAAIDJA,,394.11525966493355,,
AAAAIIAA,,855.364912892749,,
AAAAIIDA,,820.1394062883816,,
AAAAIIIA,,649.9529168723528,,
AAAAIIJA,,1579.5094791768652,,
AAAAIJAA,,1020.3844090426551,,
AAAAIJIA,,1106.4934014968494,,
AAAAIJJA,,1669.9970097679502,,
AAAAJAAA,,1185.444721260237,,
AAAAJADA,,1822.8137134768301,,
AAAAJAIA,,774.4289080835495,,
AAAAJDAA,,1583.0436453131501,,
AAAAJDDA,,1307.8847647757666,,
AAAAJDIA,,1096.1233940113368,,
AAAAJIAA,,703.7571503777234,,
AAAAJIDA,,987.2816867298251,,
