"Key_Objeto";"Nombre"
219491;"ADJJAIJA"
225119;"AIADIIDA"
225120;"AIADIIDA"
242118;"AIADADIA"
242119;"AIADADJA"
273107;"AIIAAIIA"
293954;"AIIAIADA"
293955;"AIIAIADA"
295603;"AIIDADIA"
295604;"AIIDADIA"
391513;"AIIAADAA"
391514;"AIIAADDA"
396037;"AIIDIIDA"
396038;"AIIDIIDA"
450348;"AIDJADJA"
450349;"AIDJAIAA"
456654;"AIDDIDIA"
456655;"AIDDIDIA"
463142;"AIDAAIAA"
467510;"AIDIDDAA"
467511;"AIDIDDDA"
478847;"AIIIJDDA"
492460;"AIIADIIA"
531220;"AJAAIDAA"
549529;"AJDAAADA"
569981;"AJIADJAA"
630714;"AAAAIADA"
630715;"AAAAIAIA"
630969;"AAAAIIAA"
634655;"AAAIDDDA"
634656;"AAAIDDDA"
643108;"AADDADAA"
643109;"AADDADDA"
659606;"AADAIADA"
660141;"AADAADIA"
668718;"AAIAIDAA"
668719;"AAIAIDDA"
669633;"AAIAIDJA"
677524;"AAIJDIAA"
677525;"AAIJDIDA"
678000;"AAIAADIA"
687535;"AAIJJADA"
691977;"AAIDDIIA"
697427;"AAIJIADA"
697428;"AAIJIADA"
700083;"AAJADIAA"
700084;"AAJADIAA"
704922;"AAJIDAAA"
704923;"AAJIDADA"
710868;"AAADAIIA"
710869;"AAADAIJA"
710870;"AAADAIAA"
717574;"AAAJJIDA"
717575;"AAAJJIDA"
724664;"AAAIAIDA"
724665;"AAAIAIDA"
725395;"AAAIIJDA"
725396;"AAAIIJIA"
725397;"AAAIIJIA"
725703;"AAAIAADA"
725704;"AAAIAADA"
727954;"AAAADDDA"
727955;"AAAADDDA"
736887;"AAAJAJJA"
737276;"AAAJIIIA"
737277;"AAAJIIJA"
739824;"AADAADIA"
739825;"AADAADIA"
739826;"AADAADIA"
740437;"AADAIDJA"
748255;"AADAIIIA"
753647;"AADIADJA"
753648;"AADIAIAA"
753671;"AADIAIDA"
760597;"AADDAAJA"
760598;"AADDAAAA"
760599;"AADDAAAA"
768091;"AAIADADA"
768092;"AAIADADA"
769961;"AAIADIDA"
769962;"AAIADIDA"
769963;"AAIADIDA"
777312;"AAIJIADA"
783743;"AAIIADDA"
783744;"AAIIADIA"
784198;"AAIIIAAA"
784199;"AAIIIAAA"
787262;"AAIJIIDA"
790896;"AAIDDAIA"
790898;"AAIDDAAA"
790981;"AAIDDJDA"
790982;"AAIDDJDA"
790983;"AAIDDJDA"
790984;"AAIDDJIA"
790985;"AAIDDJIA"
790986;"AAIDDJIA"
796650;"AAIJAIAA"
797189;"AAIJIAAA"
797561;"AAIJJIDA"
800881;"AAJDAJIA"
800882;"AAJDAJJA"
801229;"AAJDIDIA"
806490;"AAJIJAIA"
806491;"AAJIJAJA"
807244;"AAJJIIAA"
807245;"AAJJIIDA"
807246;"AAJJIIDA"
807572;"AAJJJJAA"
807573;"AAJJJJAA"
809243;"AAAAIIAA"
809645;"AAAAAIDA"
818507;"AAAAJADA"
818508;"AAAAJAIA"
824498;"AAAIJAIA"
824499;"AAAIJAIA"
825629;"AAAIADIA"
825630;"AAAIADIA"
825631;"AAAIADJA"
825632;"AAAIADAA"
830106;"AAAADDDA"
843938;"AADIDIIA"
843939;"AADIDIIA"
848348;"AADAIIIA"
850079;"AADADAIA"
850080;"AADADAIA"
853020;"AADDDDIA"
853101;"AADDDAJA"
853685;"AADIAADA"
855846;"AADIAIDA"
857858;"AADAAIIA"
857859;"AADAAIIA"
857860;"AADAAIIA"
867210;"AADJIADA"
867211;"AADJIADA"
869290;"AAIAJADA"
869292;"AAIAJADA"
869293;"AAIAJAIA"
869294;"AAIAJAIA"
872117;"AAIDIDAA"
872118;"AAIDIDAA"
876811;"AAIJDADA"
876812;"AAIJDADA"
876813;"AAIJDAIA"
879142;"AAIAIDDA"
880284;"AAIAIJIA"
880285;"AAIAIJIA"
880286;"AAIAIJJA"
880288;"AAIAJAAA"
880459;"AAIDAIAA"
880460;"AAIDAIDA"
880476;"AAIDAIJA"
884329;"AAIIJDAA"
885146;"AAIIIDJA"
885147;"AAIIIIAA"
885151;"AAIIIIDA"
885152;"AAIIIIDA"
885598;"AAIIAAAA"
885599;"AAIIAAAA"
885600;"AAIIAADA"
885601;"AAIIAADA"
885602;"AAIIAADA"
901830;"AAJDIAIA"
901831;"AAJDIAIA"
901836;"AAJDIAAA"
902027;"AAJDIADA"
912116;"ADADJDAA"
912117;"ADADJDAA"
916656;"ADAJDDIA"
917499;"ADAADAAA"
917500;"ADAADAAA"
918292;"ADAAAJDA"
918404;"ADAADADA"
928078;"ADAAJIJA"
928079;"ADAAJIAA"
929040;"ADAAJDAA"
929041;"ADAAJDAA"
930208;"ADADAAJA"
930274;"ADADAIDA"
930275;"ADADAIIA"
937634;"ADDAIAJA"
937636;"ADDAIAAA"
937670;"ADDAIDDA"
938607;"ADDADJAA"
938608;"ADDADJDA"
942221;"ADDDAAIA"
942222;"ADDDAAIA"
945682;"ADDIIIIA"
946683;"ADDJIIIA"
946684;"ADDJIIIA"
948522;"ADDADAIA"
948523;"ADDADAIA"
948524;"ADDADAIA"
948526;"ADDADAAA"
948527;"ADDADAAA"
985742;"ADIIIADA"
996718;"ADIJJAAA"
996719;"ADIJJAAA"
996919;"ADJAAAAA"
998279;"ADJADIDA"
998280;"ADJADIDA"
998282;"ADJADIIA"
998283;"ADJADIIA"
998785;"ADJAJIAA"
1000531;"ADJDIADA"
1000533;"ADJDIAIA"
1004134;"ADJIDAIA"
1010086;"ADADDDAA"
1010373;"ADADIDIA"
1010393;"ADADIDIA"
1010527;"ADADIJAA"
1010927;"ADADAJAA"
1012012;"ADADDIIA"
1012013;"ADADDIIA"
1013601;"ADAIJIDA"
1013602;"ADAIJIIA"
1013603;"ADAIJIIA"
1014060;"ADAIDADA"
1014710;"ADAIAIDA"
1014711;"ADAIAIDA"
1014712;"ADAIAIIA"
