"Fecha_Pago";"ID";"Pago";"Gastos";"Intereses";"Fecha_Inicio";"Deuda"
"2020-10-06 18:05:54";27087919;26,09;1,14;0;"2020-02-01";3645,67
"2020-09-06 05:05:04";27053191;200;1,79;0;"2020-09-01";201,66
"2020-09-27 05:05:30";27090378;0;43,12;0;"2020-03-01";6,08
"2020-09-17 05:05:32";27090193;0;48,67;0;"2020-03-01";48,67
"2020-10-01 12:03:51";27089985;526,76;3,48;28,53;"2020-08-01";2301,44
"2020-10-01 12:03:51";27089985;1699;43,67;0;"2020-08-01";2301,44
"2020-09-05 05:05:06";27037803;0;0;4;"2019-09-01";17334,6
"2020-10-02 13:25:30";27089371;0;4,97;0;"2020-01-01";5868,24
"2020-09-05 05:05:06";27053095;184,84;0,23;0;"2020-09-01";184,84
"2020-10-02 13:25:30";27087507;0;0,68;4,62;"2020-07-29";89,03
"2020-10-02 13:25:30";27087507;5;0,72;18,33;"2020-07-29";89,03
"2020-09-23 16:56:04";27090377;342,03;0;11,34;"2020-01-30";353,37
"2020-09-17 05:05:32";27137929;174,38;71,9;94,69;"2018-09-01";7965,16
"2020-09-18 10:32:14";27089145;212,72;-32,81;46,95;"2020-09-01";0,01
"2020-09-12 05:05:32";27090596;15,25;0,09;0;"2020-08-01";127,23
"2020-09-12 05:05:32";27090596;111,55;0,42;0;"2020-08-01";127,23
"2020-09-18 10:32:14";27087523;5;1,04;57,35;"2020-07-30";329,3
"2020-09-12 05:05:32";27090592;31,75;0;0,48;"2020-09-01";32,22
"2020-09-24 11:05:27";27090599;2580,81;108,42;0;"2020-09-01";2685,91
"2020-10-01 10:10:32";27088123;0;0;9,06;"2019-11-15";30292,04
"2020-09-10 05:05:33";27087509;59,07;20,45;12,23;"2020-07-10";182,17
"2020-09-10 05:05:33";27087509;78,42;1,2;10,88;"2020-07-10";182,17
"2020-10-02 13:25:30";27090601;100;0;98,47;"2019-11-19";5400
"2020-09-10 05:05:33";27089533;79,12;0,11;7,76;"2020-09-01";86,88
"2020-09-17 05:05:32";27087510;20,67;4,07;0,38;"2019-10-01";389,27
"2020-09-17 05:05:32";27087510;132,57;45,81;3,93;"2019-10-01";389,27
"2020-09-17 05:05:32";27087510;146,76;32,04;3,24;"2019-10-01";389,27
"2020-09-06 05:05:04";27053172;632;1,19;0;"2020-09-01";632,79
"2020-09-12 05:05:32";27090191;0;0;81,92;"2019-08-01";3619,73
"2020-10-02 13:25:30";27088960;23,44;0,68;14,06;"2020-09-01";38,16
"2020-09-17 13:11:21";27089964;44,73;0;0;"2020-01-21";44,73
"2020-10-01 12:03:51";27089164;14,49;0,03;0;"2020-09-01";14,51
"2020-09-10 05:05:33";27089164;5;0;0;"2020-09-01";19,49
"2020-09-24 11:05:27";27087505;0;3,49;0;"2020-03-01";700,33
"2020-09-06 05:05:04";27052239;843,16;20,86;3,7;"2020-09-01";867,18
"2020-10-01 10:10:32";27090396;5002,2;9,91;4,78;"2020-03-01";5006,98
"2020-09-27 05:05:30";27090396;0;288,96;86;"2020-03-01";5006,98
"2020-09-27 05:05:30";27090396;104,16;0,24;77,25;"2020-03-01";5006,98
"2020-09-27 05:05:30";27090396;108,17;15,61;95,83;"2020-03-01";5006,98
"2020-09-27 05:05:30";27090396;109,27;19,78;94,73;"2020-03-01";5006,98
"2020-09-24 11:05:27";27090396;0;23,55;22,59;"2020-03-01";6003,12
"2020-09-24 11:05:27";27090396;83;26,4;93,41;"2020-03-01";6003,12
"2020-10-01 12:03:51";27089162;67,59;0,26;2,07;"2020-09-01";69,92
"2020-09-18 10:32:14";27141776;5;0,01;0,49;"2020-09-10";5,5
"2020-09-17 05:05:32";27144896;25,81;0,22;0;"2020-02-01";3628,31
"2020-10-02 13:25:30";27038927;0;0;150;"2020-01-01";9046,49
"2020-09-24 11:05:27";27038927;0;0;70;"2020-01-01";9196,49
"2020-09-12 05:05:32";27088539;93,64;0;106,36;"2019-08-01";5958,97
"2020-09-11 05:05:31";27088750;60,32;0;0;"2020-09-01";55,34
"2020-10-02 13:25:30";27141775;129,54;2,42;63,11;"2020-09-10";194,94
"2020-09-24 11:05:27";27060394;1,59;0;0;"2020-09-01";1,59
"2020-09-20 05:05:34";27060394;198,41;12,67;0;"2020-09-01";1,59
"2020-09-26 05:05:34";27090391;0;0;246,28;"2020-01-26";47487,44
"2020-09-17 05:05:32";27090391;0;0;134,24;"2020-01-26";47733,72
"2020-09-17 13:11:21";27090183;144,14;0;5,86;"2019-03-01";2586,48
"2020-10-01 12:03:51";27090393;52,03;0,93;0;"2020-08-01";251,88
"2020-10-01 12:03:51";27090393;189,02;7,33;2,57;"2020-08-01";251,88
"2020-09-24 11:05:27";27151441;31,93;0,44;0;"2020-09-01";32,35
"2020-09-24 11:05:27";27122016;41,35;0,49;0;"2020-08-01";135,62
"2020-09-24 11:05:27";27122016;73,59;1,22;18,97;"2020-08-01";135,62
"2020-10-01 12:03:51";27144868;412,15;3,91;24,57;"2020-09-13";436,72
"2020-10-02 13:25:30";27088500;41,97;6,01;0;"2020-03-01";487,94
"2020-10-02 13:25:30";27088500;41,97;5,07;0;"2020-03-01";487,94
"2020-10-02 13:25:30";27088500;41,97;4,24;0;"2020-03-01";487,94
"2020-10-02 13:25:30";27088500;41,97;3,38;0;"2020-03-01";487,94
"2020-10-02 13:25:30";27088500;141,51;38,2;0;"2020-03-01";487,94
"2020-09-24 11:05:27";27090565;29,22;0;5,95;"2020-08-01";35,17
"2020-09-23 05:05:32";27090565;0;0,76;25,83;"2020-08-01";35,17
"2020-09-23 05:05:32";27090565;7,78;0,11;0;"2020-08-01";35,17
"2020-10-01 10:10:32";27088307;981,32;-17,92;98,21;"2020-09-01";1079,53
"2020-09-26 05:05:34";27031756;52,61;0;0;"2020-02-09";52,61
"2020-09-11 05:05:31";27031429;32,67;0;0;"2020-01-01";32,67
"2020-09-27 05:05:30";27089740;577,78;0;0;"2020-06-30";577,78
"2020-09-20 05:05:34";27089757;42,45;9,12;0;"2019-11-01";152,13
"2020-09-20 05:05:34";27089757;42,45;7,39;0;"2019-11-01";152,13
"2020-09-20 05:05:34";27089757;42,45;8,27;0;"2019-11-01";152,13
"2020-09-20 05:05:34";27090154;13,87;2,32;34,56;"2020-07-01";148,42
"2020-09-24 11:05:27";27089954;45,97;0,84;0;"2020-08-25";46,78
"2020-10-01 12:03:51";27045078;2236,08;0;0;"2020-02-28";15074,02
"2020-09-23 17:33:18";27045078;2362,85;0;0;"2020-02-28";17310,1
"2020-09-17 13:11:21";27045078;2236,08;0;0;"2020-02-28";19672,95
"2020-09-24 11:05:27";27087890;0;1,65;2,56;"2020-08-01";222,14
"2020-10-01 10:10:32";27034704;500;0;0;"2020-02-22";5464,51
"2020-09-23 16:56:04";27088515;285;0;0;"2019-06-28";299,49
"2020-09-23 16:56:04";27088515;890;0;0;"2019-06-28";299,49
"2020-10-01 12:03:51";27088518;0;35,87;0;"2020-03-01";35,87
"2020-09-14 17:47:18";27089739;167,65;0,84;0;"2020-09-01";168,49
"2020-09-09 12:05:15";27055017;40,55;40,55;0;"2019-10-01";7414,28
"2020-09-09 12:05:15";27055017;40,55;40,55;0;"2019-10-01";7414,28
"2020-09-09 12:05:15";27055017;7434,28;0;0;"2019-10-01";7414,28
"2020-09-09 12:05:15";27052198;151,81;0,29;0;"2020-09-01";152,1
"2020-09-06 05:05:04";27052198;249,25;0,75;0;"2020-09-01";151,81
"2020-10-01 12:03:51";27087472;73,64;1,51;0;"2020-06-01";227,82
"2020-10-01 12:03:51";27087472;145,66;2,67;4,34;"2020-06-01";227,82
"2020-09-26 05:05:34";27088506;280,66;-33,08;19,91;"2020-09-01";300,57
"2020-09-11 05:05:31";27035699;38,26;0;0;"2018-07-01";40,39
"2020-09-17 05:05:32";27089334;37,2;0,37;0;"2020-08-01";114,14
"2020-09-17 05:05:32";27089334;65,26;8,67;2,71;"2020-08-01";114,14
"2020-10-01 10:10:32";27089336;27,23;27,23;0;"2020-03-01";29573,12
"2020-10-01 10:10:32";27089336;27,23;27,23;0;"2020-03-01";29573,12
"2020-10-01 10:10:32";27089336;29573,12;0;0;"2020-03-01";29573,12
"2020-09-18 10:32:14";27087685;1070,67;10,74;0;"2020-09-01";1080,74
"2020-09-17 13:11:21";27088088;83,91;0,32;12,35;"2020-09-01";96,26
"2020-09-17 13:11:21";27088308;18,62;-35;0;"2020-09-01";194,03
"2020-09-24 11:05:27";27088723;999,14;23,8;0;"2020-08-15";1022,94
"2020-10-06 18:05:54";27087899;18,46;37,89;11,12;"2019-11-25";568,25
"2020-09-20 05:05:34";27090357;33,7;1,71;0;"2020-02-01";80,1
"2020-09-20 05:05:34";27090357;40,23;4,51;0;"2020-02-01";80,1
"2020-10-02 13:25:30";27089965;35,13;1,39;0;"2020-08-01";84,04
"2020-10-02 13:25:30";27089965;46,95;0,62;0;"2020-08-01";84,04
"2020-09-20 05:05:34";27089343;293,36;0;0;"2019-04-30";288,36
"2020-09-17 05:05:32";27089343;40;0;0;"2019-04-30";262,4
"2020-09-24 11:05:27";27123509;160,01;13,03;1,96;"2020-09-01";174,89
"2020-09-11 05:05:31";26916519;219,26;0;2,68;"2020-08-01";131,55
"2020-09-11 05:05:31";27074508;31,74;0;0,22;"2020-09-01";31,96
"2020-10-01 12:03:51";27077176;138,24;0,88;45,09;"2020-09-01";184,13
"2020-10-02 13:25:30";27089956;410,22;7,46;0;"2020-09-01";417,42
"2020-10-01 12:03:51";27137908;77,91;8,28;23,56;"2020-09-01";109,75
"2020-09-17 05:05:32";27090570;0;48,67;0;"2020-03-01";48,67
"2020-10-01 10:10:32";27090573;64;0;64,5;"2019-06-01";6263,4
"2020-09-04 05:05:04";27038699;0;0;100;"2020-01-01";8860,41
"2020-10-02 13:25:30";27090572;57,89;2,11;0;"2020-09-01";22,77
"2020-09-23 16:56:04";27090572;94,99;5,01;0;"2020-09-01";420,24
"2020-09-17 05:05:32";27141747;273,42;0,86;0,67;"2020-09-10";274,78
"2020-09-09 12:05:15";27055164;96,63;22,4;34,74;"2020-09-01";153,77
"2020-09-24 11:05:27";27088313;110,5;0;0;"2019-11-01";5660,61
"2020-09-23 16:56:04";27088313;323;0;0;"2019-11-01";5660,61
"2020-09-23 16:56:04";27088313;154;0;0;"2019-11-01";5660,61
"2020-09-17 05:05:32";27075940;24;0,21;0;"2020-09-01";24,2
"2020-09-10 05:05:33";27054900;70,49;0;0,2;"2020-09-01";70,69
"2020-09-24 11:05:27";27076357;0;0,04;3599,96;"2020-02-01";58204,3
"2020-09-18 10:32:14";27089117;57,9;30;92,11;"2020-07-01";180,01
"2020-10-01 12:03:51";27076762;5;0,05;8,38;"2020-09-01";13,43
"2020-10-01 10:10:32";27089941;550,46;0;449,54;"2020-02-01";24306,45
"2020-10-02 13:25:30";27089942;31,74;0;0,4;"2020-09-01";32,14
"2020-09-23 16:56:04";27076364;0;0;586,29;"2020-09-01";586,29
"2020-09-12 05:05:32";27088923;6,5;0;0;"2020-07-22";1054,28
"2020-09-27 05:05:30";27088925;27,54;0,48;0;"2020-08-01";180,17
"2020-09-27 05:05:30";27088925;127,66;2,26;22,34;"2020-08-01";180,17
"2020-10-02 13:25:30";27076764;200;0;0;"2020-09-21";19,28
"2020-10-01 10:10:32";27076764;200;0;0;"2020-09-21";115,18
"2020-10-01 10:10:32";27076764;295,18;0;0;"2020-09-21";115,18
"2020-09-26 05:05:34";27076764;25;0;0;"2020-09-21";265,18
"2020-09-24 11:05:27";27076764;88;0;0;"2020-09-21";290,18
"2020-09-23 17:33:18";27076764;200;0;0;"2020-09-21";248,98
"2020-09-23 16:56:04";27076764;300;0;0;"2020-09-21";246,46
"2020-09-23 16:56:04";27089135;0;10;0;"2019-12-01";1397,63
"2020-10-01 12:03:51";27157997;234,5;0;0;"2020-08-25";182,59
"2020-09-05 05:05:06";27052236;191,66;0,25;0;"2020-09-01";191,66
"2020-09-03 05:05:05";27036788;0;0;111;"2020-01-01";12830,76
"2020-10-02 13:25:30";27075126;5;0,15;9,6;"2020-09-01";14,75
"2020-10-01 10:10:32";27075529;317,88;0;32,12;"2020-06-04";1326,47
"2020-09-20 05:05:34";27074299;3,44;0,97;0,59;"2020-08-01";28,15
"2020-10-01 12:03:51";27076780;102,49;0,41;27,88;"2020-09-01";130,78
"2020-09-24 11:05:27";27076780;0;2,07;19,63;"2020-09-01";130,37
"2020-10-01 12:03:51";27061022;199,79;0,77;0;"2020-09-01";200,56
"2020-10-01 12:03:51";27034886;183,8;0;316,2;"2019-11-30";9265,39
"2020-09-14 17:47:18";27075738;0;0;25;"2020-02-01";8326,71
"2020-10-02 13:25:30";27075930;0,44;0,01;0;"2020-08-01";51,33
"2020-10-02 13:25:30";27075930;48,49;0,91;1,51;"2020-08-01";51,33
